player_id,team_name
623451,Atlanta Braves
675911,Atlanta Braves
621020,Atlanta Braves
682016,Atlanta Braves
657140,Atlanta Braves
660623,Atlanta Braves
518595,Atlanta Braves
592094,Tampa Bay Rays
666018,Tampa Bay Rays
542888,Tampa Bay Rays
668227,Tampa Bay Rays
572703,Tampa Bay Rays
669358,Tampa Bay Rays
656222,Tampa Bay Rays
542194,Tampa Bay Rays
660644,Tampa Bay Rays
644374,Tampa Bay Rays
608638,Tampa Bay Rays
596847,Tampa Bay Rays
650490,Tampa Bay Rays
664126,Tampa Bay Rays
676534,Tampa Bay Rays
656420,Tampa Bay Rays
676596,Tampa Bay Rays
677551,Tampa Bay Rays
621248,Tampa Bay Rays
642770,Tampa Bay Rays
595281,Tampa Bay Rays
552640,Tampa Bay Rays
446372,Tampa Bay Rays
643400,Tampa Bay Rays
664040,Tampa Bay Rays
666139,Tampa Bay Rays
622534,Tampa Bay Rays
607391,Tampa Bay Rays
663556,Tampa Bay Rays
642336,Tampa Bay Rays
642657,Tampa Bay Rays
670623,Tampa Bay Rays
672715,Tampa Bay Rays
444482,Tampa Bay Rays
650907,Tampa Bay Rays
621363,Tampa Bay Rays
596451,Tampa Bay Rays
548384,Tampa Bay Rays
670042,Tampa Bay Rays
623912,Tampa Bay Rays
656876,Tampa Bay Rays
676720,Tampa Bay Rays
676637,Tampa Bay Rays
642350,Tampa Bay Rays
605488,Tampa Bay Rays
657044,Tampa Bay Rays
670764,Tampa Bay Rays
605538,Tampa Bay Rays
642232,Tampa Bay Rays
572287,Tampa Bay Rays
642715,Milwaukee Brewers
669920,Milwaukee Brewers
676879,Milwaukee Brewers
673316,Milwaukee Brewers
502202,Milwaukee Brewers
670712,Milwaukee Brewers
669203,Milwaukee Brewers
456713,Milwaukee Brewers
456715,Milwaukee Brewers
605170,Milwaukee Brewers
664776,Milwaukee Brewers
641505,Milwaukee Brewers
592346,Milwaukee Brewers
641627,Milwaukee Brewers
594311,Milwaukee Brewers
669374,Milwaukee Brewers
605288,Milwaukee Brewers
656577,Milwaukee Brewers
665001,Milwaukee Brewers
641778,Milwaukee Brewers
664029,Milwaukee Brewers
457705,Milwaukee Brewers
459429,Milwaukee Brewers
