release_pos_x,release_pos_z,release_speed,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_number,spin_axis,pitch_name_4-Seam Fastball,pitch_name_Changeup,pitch_name_Curveball,pitch_name_Cutter,pitch_name_Knuckle Curve,pitch_name_Sinker,pitch_name_Slider,pitch_name_Split-Finger,balls_0,balls_1,balls_2,balls_3,strikes_0,strikes_1,strikes_2,outs_when_up_0,outs_when_up_1,outs_when_up_2,zone_1,zone_2,zone_3,zone_4,zone_6,zone_7,zone_8,zone_9,zone_11,zone_12,zone_13,zone_14,p_throws_L,p_throws_R,stand_L,stand_R
-2.34,5.0,89.3,-1.33,0.01,0.04,3.12,8.423941516454416,-129.7916181461617,1.3053600432628398,-16.76438471143706,27.3810881319082,-32.524162267577665,87.1,2232,5.0,55.54,1,259,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2.65,5.29,77.7,-0.8,-0.75,0.87,2.01,-2.316835403688047,-113.01466320418076,1.347230438052344,-6.3447639780798655,23.255076617215632,-39.087400842536745,77.0,2646,6.1,54.38,1,289,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
-1.94,5.06,89.0,-1.34,-0.05,-0.22,3.64,6.807176600835923,-129.46644918741194,2.585700460250496,-16.46429212956183,27.372154910525207,-33.56440299300556,86.6,2258,4.8,55.69,2,251,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2.36,5.31,83.6,1.4,0.15,1.08,2.05,-5.7134154630134,-121.628691884448,-1.3049222171209625,15.065872799889188,26.380393762532798,-30.62646384084356,83.3,1601,6.3,54.15,1,122,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2.67,5.36,77.7,-0.78,-0.59,0.94,3.38,-2.2550668888023595,-113.01032447885666,3.7704330605272167,-6.2162985669015045,21.8953159830144,-38.19564078996387,77.1,2652,6.1,54.45,1,291,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
-2.15,5.86,88.0,0.61,0.29,-0.57,2.1,2.551826286073509,-128.1155970006436,-3.6091126248338727,6.247633185653436,26.303770906531728,-28.45572995923492,87.8,2666,6.1,54.4,1,187,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
-2.07,5.85,87.6,0.43,0.24,-1.08,2.53,1.4979068308797123,-127.7037631978127,-2.4414240483941514,4.470510579041137,23.911323396827857,-29.29258986930206,87.8,2623,6.1,54.37,1,102,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
-1.92,6.02,92.9,-0.25,1.3,-0.72,3.48,3.617043991734373,-135.34648634594512,-3.5994703055780644,-3.799573292053188,29.11956946173674,-15.622758142168934,93.0,2408,6.3,54.23,4,203,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
-2.24,5.88,87.2,0.56,0.1,-0.77,3.07,2.381130636187789,-127.0614856373454,-0.82246377726655,5.586523666107359,25.556009721323047,-31.183494878357447,87.2,2568,6.1,54.35,3,140,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2.47,5.23,82.4,0.73,0.74,-0.87,1.17,-8.960488443467767,-119.5882862874919,-4.019081668212394,8.90061597849421,25.40045201053577,-24.47464892628677,81.7,1641,6.2,54.32,3,114,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2.43,5.27,92.1,0.94,1.22,0.84,2.35,-6.046335217508579,-133.93146767741948,-4.1267167190584,12.689725900774794,32.43968390966324,-16.82473054528059,91.2,2177,6.1,54.44,1,133,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2.37,5.35,80.3,-0.86,-0.63,-0.18,2.95,-4.007989541937728,-116.85064504581791,2.5586259403901703,-7.12870540715979,22.1908927092623,-38.64779770691695,79.9,2637,6.0,54.45,1,303,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2.09,5.22,81.7,1.14,0.67,-0.8,1.53,-8.670457859199459,-118.70368719938008,-2.995134042332419,12.458728584194704,23.04437863525873,-25.48203805259068,81.4,1626,6.2,54.28,4,118,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2.16,5.26,92.7,0.98,1.25,-1.01,2.1,-10.141377564854988,-134.59043748975455,-4.961917611501685,14.07276274665043,29.071680940207447,-16.017934688421082,91.9,2425,5.9,54.58,2,141,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2.29,5.28,92.1,1.04,1.24,-0.76,1.52,-9.893878672580488,-133.55217175862572,-6.262234413870411,14.645493345362144,30.395926735068358,-16.136172578563787,91.0,2353,6.0,54.54,1,135,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2.49,5.25,81.9,-0.52,0.41,-0.44,1.86,-5.6230317996166415,-119.02238332076678,-1.784774246545278,-3.631357995329594,25.995636536570604,-28.140432667640503,81.4,2401,6.3,54.18,1,280,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2.63,5.15,81.4,-0.4,0.2,-0.99,1.45,-7.312879534831616,-118.33110741767048,-1.981575150216416,-2.1245113434771503,25.29299263687372,-30.16406220234119,80.7,2547,6.1,54.38,4,284,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
-0.52,5.89,86.8,0.43,-0.18,0.81,2.58,2.28148986124338,-126.3538844840589,-1.333623144452489,4.054058211280145,27.224300419144,-34.048405374292884,85.4,2682,5.5,54.98,1,111,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.45,6.29,90.4,0.7,1.58,-0.94,3.44,-7.452097864019915,-131.37824262334112,-4.476116513268086,9.765223822741346,30.97749791269496,-13.192647492294398,90.1,2029,6.4,54.06,3,143,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1.43,6.23,92.0,1.25,1.05,0.53,3.35,-5.014666025647076,-133.8709785197272,-3.77417009908397,16.159045079646308,27.85329714450302,-18.960025375894265,92.4,1978,6.5,54.02,8,135,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.24,6.27,91.4,0.93,1.22,-1.1,3.3,-7.908947921883147,-132.83558227887357,-4.1962395128025385,12.74995999469587,30.667127558654183,-17.025972506284536,91.2,1919,6.4,54.06,3,141,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1.35,6.22,89.7,1.33,0.85,-0.74,1.63,-7.992211719253445,-130.22484630398756,-7.115381962156119,16.842294892423688,28.17824164554553,-21.165995462271287,89.7,1869,6.5,54.03,1,140,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1.27,6.29,91.3,1.08,1.5,-0.6,3.26,-7.050028679349278,-132.6416361167689,-4.927487177775325,14.29247336778943,30.809449676114465,-13.630913471624718,91.2,1895,6.5,53.98,2,135,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2.53,5.28,93.9,1.6,0.31,0.55,1.62,-8.630434875847875,-136.4027195516099,-4.40784574074026,21.85704143319262,29.669910296531672,-27.552835251416735,93.6,2457,6.2,54.3,5,125,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2.51,5.28,81.3,-0.63,0.01,-0.02,1.59,-4.46158255697166,-118.43033589958048,-1.7626775956277276,-5.258345755963827,19.98516286025533,-31.98899675778528,81.7,2692,6.2,54.26,4,265,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
2.4,5.37,80.9,-0.61,-0.19,-0.99,2.04,-6.426486052766076,-117.7789504528259,-0.4513122386975817,-4.487696348783817,21.70185231190912,-34.04088922608458,81.3,2740,6.5,54.04,1,265,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1.32,6.17,91.4,0.97,1.02,-0.95,1.18,-7.807940235219914,-132.6226319632553,-8.861315315829227,13.107174377366,29.246957817621965,-18.31141716684063,91.4,1930,6.5,53.99,1,142,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1.57,6.23,89.8,1.1,1.08,0.84,2.23,-4.144543653274969,-130.64799622981803,-6.21183870458657,13.496881144774877,27.463266879377727,-18.719352081214364,89.9,1826,6.4,54.15,1,196,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2.43,5.31,93.0,1.68,0.45,0.56,2.61,-8.428022759174391,-135.22317055600325,-2.1106720322512484,22.474422736163568,30.423781543645585,-26.346119234316838,92.5,2434,6.1,54.39,2,122,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1.49,6.22,90.3,1.38,1.0,-0.58,2.65,-8.089819614586,-131.19901075318822,-5.067494532565105,17.69937473430877,27.71254567091249,-19.711789102255967,90.4,1929,6.4,54.05,2,141,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.42,6.34,74.3,0.02,-0.31,0.54,2.88,-1.826167522408055,-108.20163022212655,0.6889144874260187,0.5179307467056885,19.46475831542969,-34.92324221335416,74.0,2012,6.1,54.4,1,309,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
1.67,6.05,91.0,1.3,1.06,0.19,1.87,-6.52266661932802,-132.25521743627542,-6.899946749803571,16.67468668099934,27.200365020696,-18.416028205259437,91.4,1948,6.5,53.99,1,140,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1.55,6.21,76.1,-0.33,-0.7,0.47,1.59,-1.6694295247403148,-110.8526511117808,-1.367099143442429,-2.4260954586194377,20.5589811912339,-37.92938785876608,76.0,2116,6.2,54.29,1,327,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1.55,6.12,90.8,1.22,1.02,-0.68,3.35,-8.228443676348945,-132.00614540985646,-3.2148618743848494,16.00209981447686,27.776977059987257,-19.713262023587266,91.2,1883,6.6,53.92,7,138,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
